Date,ES_Close,NQ_Close,ES_Daily_Return,ES_5D_Fwd_Return,ES_20D_Fwd_Return,ES_60D_Fwd_Return,ES_Realized_Vol_20D,ES_Fwd_Max_DD_60D,ES_Fwd_Max_Upside_60D,ES_Fwd_Sharpe_60D,walcl_3m_pct,liquidity_contraction,liquidity_expansion,HY_OAS,hy_oas_zscore,hy_oas_percentile,credit_regime,VIX,volatility_regime,spx_pos_percentile,Liquidity_State,Liquidity_Status,Credit_State,Credit_Status,Positioning_State,Positioning_Status,Volatility_State,Volatility_Status,Destabilization_Score,Macro_Regime
2010-03-16,1159.5,1931.0,0.008009567660008278,0.00862440707201384,0.0405347132384648,-0.06532988357050451,0.07302538628807913,-0.09616213885295388,0.04549374730487288,-1.1731628103078826,,False,False,20.37920031459021,-1.142231006804522,0.5331529093369418,Neutral,17.58,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-17,1165.75,1936.5,0.005375778992843895,-0.0010722710701265292,0.03667167059832721,-0.0656229894917435,0.07287155456260967,-0.10100793480591896,0.0398884838087068,-1.1787803431322041,,False,False,20.48736768619494,-1.0132606937895143,0.5513513513513514,Neutral,17.58,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-18,1166.0,1944.5,0.00021443122200735844,-0.002787307032590003,0.020797598627787295,-0.06475128644939965,0.07283962653116698,-0.10120068610634647,0.03966552315608918,-1.162443120315777,,False,False,20.385751291649466,-1.112306164423677,0.5371120107962213,Neutral,17.58,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-19,1172.949951171875,1955.8299560546875,0.005942813460104002,-0.00805656811054356,0.0192250733337731,-0.05068413286728857,0.07333148306276573,-0.10652624269862454,0.03350530752728287,-0.8893536718432937,,False,False,20.510818253955097,-0.9645416994262185,0.5539083557951483,Neutral,16.97,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-22,1162.0,1948.5,-0.009379242958685141,0.005808950086058529,0.03743545611015486,-0.04130808950086062,0.08526497245410612,-0.09810671256454384,0.04324440619621339,-0.723160997150842,,False,False,20.41741822766403,-1.0568385175861785,0.5437415881561238,Neutral,16.97,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-23,1169.5,1962.25,0.006433648612377163,0.0,0.026507054296708077,-0.04553227875160326,0.07420227996669967,-0.10389055151774262,0.03655408294142792,-0.8001100747015979,,False,False,20.401350437302852,-1.067762654949169,0.5376344086021505,Neutral,16.97,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-24,1164.5,1951.5,-0.004284496699838022,0.0006440532417346656,0.03198797767282091,-0.03921858647085663,0.07809282306302621,-0.10004293688278232,0.04100472305710601,-0.6869978206438677,,False,False,20.19718339964242,-1.2918566532079823,0.5073825503355704,Neutral,16.97,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-25,1162.75,1949.5,-0.0015039212201892532,0.009460331111588838,0.0425714900021501,-0.04493657278004726,0.07834411010078576,-0.09868845409589333,0.0425714900021501,-0.7882305799479246,,False,False,20.018764961790232,-1.4919841371450422,0.4624664879356568,Tight,16.97,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-26,1163.5,1951.75,0.0006448146381400079,0.016759776536312776,0.03846153846153855,-0.06274172754619678,0.07849041102397751,-0.09926944563816076,0.04189944134078205,-1.0993727534464943,,False,False,20.119585842962046,-1.3699793064936756,0.4939759036144578,Tight,17.77,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-29,1168.75,1960.25,0.004502097860550389,0.014545454545454639,0.010481283422459908,-0.06951871657754005,0.07406485809903107,-0.10331550802139033,0.037219251336898296,-1.223745127698788,,False,False,20.057046807082717,-1.4419478554302005,0.4772727272727273,Tight,17.77,Normal,,Flat,Normal,Tight,Normal,Neutral,Normal,Normal,Normal,0,A
